Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Mohammadi,,63,3,2,2,Bon état
Appartement,Cité Adrar,410000,50,3,2,1,À rénover
Villa,Siusse,9500000,480,N/A,6,4,N/A
Villa,Bouargane,4000000,354,N/A,4,2,N/A
Appartement,Founti,2100000,96,N/A,2,1,N/A
Villa,Founti,710000,443,10,5,4,Bon état
Maison,Tilila,2800000,112,8,6,2,Bon état
Appartement,Hay Salam,660000,60,N/A,2,1,N/A
Villa,Tilila,2800000,260,7,4,3,À rénover
Villa,Founti,650000,380,12,6,4,Bon état
Appartement,Extension Dakhla,99000,76,3,2,1,Bon état
Villa,Tilila,2770000,145,7,3,3,Bon état
Villa,Tilila,3710000,225,N/A,5,2,N/A
Appartement,Haut Founty,,80,3,2,2,Bon état
Appartement,Abattoirs,160000,103,3,2,1,Bon état
Villa,Tilila,3800000,200,N/A,4,4,N/A
Appartement,Hay Houda,960000,105,N/A,2,1,N/A
Villa,Hay Dakhla,5000000,360,N/A,6,2,N/A
Villa,Hay Houda,3700000,300,N/A,3,3,N/A
Appartement,Ville Nouvelle,1800000,120,4,2,2,Bon état
Appartement,Haut Founty,1575000,105,3,2,2,Bon état
Appartement,Hay Salam,1150000,87,4,3,2,Nouveau
Villa,Ben Serguaou,,340,5,3,2,Bon état
Appartement,Hay Mohammadi,1500000,107,4,4,2,Bon état
Appartement,Hay Najah,1000000,105,3,2,2,Bon état
Villa,Tilila,3500000,175,N/A,3,2,N/A
Appartement,Hay Houda,,64,3,3,1,Bon état
Appartement,Haut Founty,1350000,90,3,2,1,Nouveau
Appartement,Port,,91,3,2,2,Nouveau
Appartement,Founti,2900000,153,4,3,2,Bon état
Appartement,Siusse,5000000,450,3,3,2,À rénover
Appartement,Talborjt,1300000,120,2,2,2,Bon état
Appartement,Founti,1430000,137,4,3,2,Nouveau
Appartement,Hay Mohammadi,1550000,137,N/A,3,2,N/A
Appartement,Haut Founty,1700000,105,1,2,2,Nouveau
Villa,Founti,5000000,216,5,3,4,Nouveau
Maison,Riad Salam,3500000,400,7,5,3,Bon état
Appartement,Hay Salam,440000,57,3,2,1,Bon état
Maison,Al Wifaq,2000000,120,5,3,2,Bon état
Villa,Ville Nouvelle,7000000,500,6,4,3,À rénover
Villa,Tikiouine,2300000,600,3,2,1,Bon état
Appartement,Secteur Touristique,1900000,75,2,1,2,Bon état
Appartement,Hay Mohammadi,1900000,146,5,3,3,Bon état
Appartement,Tilila,440000,55,3,3,1,Nouveau
Appartement,Cité Adrar,440000,52,3,3,1,Nouveau
Maison,Cité Adrar,1400000,64,3,3,1,Nouveau
Appartement,Hay Mohammadi,,51,1,1,1,Bon état
